model,heldout,feature,importance
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pr_protein_coverage_05,0.023170456111319255
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pr_high_contacts_per_nt,0.00919363498041856
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal4_per_res,0.04487219382411833
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal4_high_per_res,0.20297294059087367
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal12_per_res,0.07187675927084634
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal12_high_per_res,0.18745159703041278
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal24_per_res,0.03650861050480171
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal24_high_per_res,0.17428234184495994
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pr_cp_sum,0.03682248521457998
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pr_cp_per_nt,0.030696858153688323
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pr_top20_mean,0.0172117315866269
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pr_rna_max_mean,0.048395860181424756
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pr_rna_max_min,0.004332707900162144
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pr_rna_coverage_05,0.02761404234144122
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pr_protein_coverage_05,0.016698858726344773
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pr_high_contacts_per_nt,0.008290445025078504
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal4_per_res,0.05882048570137783
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal4_high_per_res,0.1973573152887062
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal12_per_res,0.09162976714567221
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal12_high_per_res,0.18042654005547565
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal24_per_res,0.06334923935174157
CP_summary14_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal24_high_per_res,0.21835366332768008
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pr_cp_sum,0.04046303690955936
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pr_cp_per_nt,0.035168959618143314
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pr_top20_mean,0.017598580638494263
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pr_rna_max_mean,0.049032292958126805
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pr_rna_max_min,0.0046703400774867196
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pr_rna_coverage_05,0.02699483314284824
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pr_protein_coverage_05,0.019893110189219777
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pr_high_contacts_per_nt,0.004828052495000801
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal4_per_res,0.06151420278537861
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal4_high_per_res,0.20578128516625552
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal12_per_res,0.07846688684905484
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal12_high_per_res,0.18110148753859293
CP_summary14_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal24_per_res,0.05319098388954992
