C388_threshold,equivalent_cutoff_lower_exclusive,equivalent_cutoff_upper_inclusive,n_work,n_nonwork,model,validation,objective,AUC,majority_accuracy,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
0.3,0.2532999999999999,0.32484,26,5,CP3_RF,LOCO,accuracy,0.3923076923076923,0.8387096774193549,0.0,0.8387096774193549,0.5,26.0,0.0,5.0,0.0,0.5
0.3,0.2532999999999999,0.32484,26,5,CP3_RF,LOCO,balanced_accuracy,0.3923076923076923,0.8387096774193549,0.5,0.8064516129032258,0.6423076923076922,23.0,2.0,3.0,3.0,0.0
0.3,0.2532999999999999,0.32484,26,5,CP3_RF,mutation_group_out,accuracy,0.42692307692307696,0.8387096774193549,0.0,0.8387096774193549,0.5,26.0,0.0,5.0,0.0,0.5
0.3,0.2532999999999999,0.32484,26,5,CP3_RF,mutation_group_out,balanced_accuracy,0.42692307692307696,0.8387096774193549,0.2674274134924961,0.8064516129032258,0.5615384615384615,24.0,1.0,4.0,2.0,0.2325725865075039
0.3,0.2532999999999999,0.32484,26,5,CP_Structure9_RF,LOCO,accuracy,0.6846153846153845,0.8387096774193549,0.3617088004880206,0.8709677419354839,0.6,26.0,1.0,4.0,0.0,0.13829119951197938
0.3,0.2532999999999999,0.32484,26,5,CP_Structure9_RF,LOCO,balanced_accuracy,0.6846153846153845,0.8387096774193549,0.878426357657685,0.6451612903225806,0.7884615384615384,15.0,5.0,0.0,11.0,0.37842635765768495
0.3,0.2532999999999999,0.32484,26,5,CP_Structure9_RF,mutation_group_out,accuracy,0.6615384615384615,0.8387096774193549,0.2605891776913198,0.8709677419354839,0.6,26.0,1.0,4.0,0.0,0.23941082230868022
0.3,0.2532999999999999,0.32484,26,5,CP_Structure9_RF,mutation_group_out,balanced_accuracy,0.6615384615384615,0.8387096774193549,0.7333936804091327,0.6451612903225806,0.7076923076923077,16.0,4.0,1.0,10.0,0.23339368040913266
0.3368625,0.32484,0.348885,25,6,CP3_LR,LOCO,accuracy,0.6533333333333334,0.8064516129032258,0.45710592854790266,0.8064516129032258,0.7533333333333333,21.0,4.0,2.0,4.0,0.04289407145209734
0.3368625,0.32484,0.348885,25,6,CP3_LR,LOCO,balanced_accuracy,0.6533333333333334,0.8064516129032258,0.45710592854790266,0.8064516129032258,0.7533333333333333,21.0,4.0,2.0,4.0,0.04289407145209734
0.3368625,0.32484,0.348885,25,6,CP3_LR,mutation_group_out,accuracy,0.6733333333333332,0.8064516129032258,0.46524260711681087,0.8387096774193549,0.7733333333333333,22.0,4.0,2.0,3.0,0.03475739288318913
