model,C388_threshold,n_work,n_nonwork,objective,AUC,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
CP_density3_RF,0.56508,18,13,balanced_accuracy,0.47435897435897434,0.7954437620748199,0.5161290322580645,0.5512820512820513,6.0,10.0,3.0,12.0,0.2954437620748199
CP_density3_RF,0.5825425,17,14,accuracy,0.45798319327731096,0.3345076997031333,0.5483870967741935,0.51890756302521,14.0,3.0,11.0,3.0,0.16549230029686668
CP_density3_RF,0.5825425,17,14,balanced_accuracy,0.45798319327731096,0.7954437620748199,0.5483870967741935,0.569327731092437,6.0,11.0,3.0,11.0,0.2954437620748199
CP_density3_RF,0.5945275000000001,16,15,accuracy,0.4666666666666667,0.7954437620748199,0.5806451612903226,0.5875,6.0,12.0,3.0,10.0,0.2954437620748199
CP_density3_RF,0.5945275000000001,16,15,balanced_accuracy,0.4666666666666667,0.7954437620748199,0.5806451612903226,0.5875,6.0,12.0,3.0,10.0,0.2954437620748199
CP_density3_RF,0.6000000000000001,15,16,accuracy,0.51875,0.7954437620748199,0.6129032258064516,0.60625,6.0,13.0,3.0,9.0,0.2954437620748199
CP_density3_RF,0.6000000000000001,15,16,balanced_accuracy,0.51875,0.7954437620748199,0.6129032258064516,0.60625,6.0,13.0,3.0,9.0,0.2954437620748199
CP_density3_RF,0.601075,15,16,accuracy,0.51875,0.7954437620748199,0.6129032258064516,0.60625,6.0,13.0,3.0,9.0,0.2954437620748199
CP_density3_RF,0.601075,15,16,balanced_accuracy,0.51875,0.7954437620748199,0.6129032258064516,0.60625,6.0,13.0,3.0,9.0,0.2954437620748199
CP_density3_RF,0.6105674999999999,14,17,accuracy,0.5651260504201681,0.7954437620748199,0.6451612903225806,0.6260504201680672,6.0,14.0,3.0,8.0,0.2954437620748199
CP_density3_RF,0.6105674999999999,14,17,balanced_accuracy,0.5651260504201681,0.7954437620748199,0.6451612903225806,0.6260504201680672,6.0,14.0,3.0,8.0,0.2954437620748199
CP_density3_RF,0.6229925,13,18,accuracy,0.5192307692307693,0.7954437620748199,0.6129032258064516,0.5811965811965812,5.0,14.0,4.0,8.0,0.2954437620748199
CP_density3_RF,0.6229925,13,18,balanced_accuracy,0.5192307692307693,0.3345076997031333,0.5483870967741935,0.6004273504273505,12.0,5.0,13.0,1.0,0.16549230029686668
CP_density3_RF,0.6403475,12,19,accuracy,0.5548245614035088,0.7954437620748199,0.6451612903225806,0.6030701754385965,5.0,15.0,4.0,7.0,0.2954437620748199
CP_density3_RF,0.6403475,12,19,balanced_accuracy,0.5548245614035088,0.7954437620748199,0.6451612903225806,0.6030701754385965,5.0,15.0,4.0,7.0,0.2954437620748199
CP_density3_RF,0.6500000000000001,12,19,accuracy,0.5548245614035088,0.7954437620748199,0.6451612903225806,0.6030701754385965,5.0,15.0,4.0,7.0,0.2954437620748199
CP_density3_RF,0.6500000000000001,12,19,balanced_accuracy,0.5548245614035088,0.7954437620748199,0.6451612903225806,0.6030701754385965,5.0,15.0,4.0,7.0,0.2954437620748199
CP_density3_RF,0.65464,11,20,accuracy,0.525,0.8558755268877123,0.6774193548387096,0.5454545454545454,1.0,20.0,0.0,10.0,0.3558755268877123
