site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C871,-10,Position_group_out,Repository,LR_0.01,fixed_0.5,22,22,0.37142857142857144,0.45454545454545453,0.6,0.6,0.14285714285714285,9.0,1.0,6.0,6.0,0.37142857142857144,0.715791102029492
C871,-10,Position_group_out,Repository,LR_0.01,training_only_threshold,22,22,0.3761904761904762,0.4090909090909091,0.5833333333333334,0.4666666666666667,0.2857142857142857,7.0,2.0,5.0,8.0,0.37142857142857144,0.715791102029492
C871,-10,Position_group_out,Repository,LR_0.1,fixed_0.5,22,22,0.3380952380952381,0.4090909090909091,0.5714285714285714,0.5333333333333333,0.14285714285714285,8.0,1.0,6.0,7.0,0.3523809523809524,0.6987540649924551
C871,-10,Position_group_out,Repository,LR_0.1,training_only_threshold,22,22,0.44285714285714284,0.5,0.6428571428571429,0.6,0.2857142857142857,9.0,2.0,5.0,6.0,0.3523809523809524,0.6987540649924551
C871,-10,Position_group_out,Repository,LR_1,fixed_0.5,22,22,0.3380952380952381,0.4090909090909091,0.5714285714285714,0.5333333333333333,0.14285714285714285,8.0,1.0,6.0,7.0,0.37142857142857144,0.6979556041939943
C871,-10,Position_group_out,Repository,LR_1,training_only_threshold,22,22,0.3380952380952381,0.4090909090909091,0.5714285714285714,0.5333333333333333,0.14285714285714285,8.0,1.0,6.0,7.0,0.37142857142857144,0.6979556041939943
C871,-10,Position_group_out,Repository,RF_depth1,fixed_0.5,22,22,0.5380952380952381,0.6818181818181818,0.7,0.9333333333333333,0.14285714285714285,14.0,1.0,6.0,1.0,0.7000000000000001,0.8601602863367569
C871,-10,Position_group_out,Repository,RF_depth1,training_only_threshold,22,22,0.6142857142857143,0.6818181818181818,0.75,0.8,0.42857142857142855,12.0,3.0,4.0,3.0,0.7000000000000001,0.8601602863367569
C871,-10,Position_group_out,Repository,RF_depth2,fixed_0.5,22,22,0.5380952380952381,0.6818181818181818,0.7,0.9333333333333333,0.14285714285714285,14.0,1.0,6.0,1.0,0.7142857142857143,0.8658168519933225
C871,-10,Position_group_out,Repository,RF_depth2,training_only_threshold,22,22,0.6142857142857143,0.6818181818181818,0.75,0.8,0.42857142857142855,12.0,3.0,4.0,3.0,0.7142857142857143,0.8658168519933225
C871,-10,Position_group_out,Repository,SVM_RBF,fixed_0.5,22,22,0.4,0.5454545454545454,0.631578947368421,0.8,0.0,12.0,0.0,7.0,3.0,0.2,0.5465221371335922
C871,-10,Position_group_out,Repository,SVM_RBF,training_only_threshold,22,22,0.26666666666666666,0.36363636363636365,0.5333333333333333,0.5333333333333333,0.0,8.0,0.0,7.0,7.0,0.2,0.5465221371335922
C871,-10,Position_group_out,Repository,nested_model_selection,training_only_threshold,22,22,0.43333333333333335,0.5909090909090909,0.65,0.8666666666666667,0.0,13.0,0.0,7.0,2.0,0.33333333333333337,0.6441904002430318
C871,-10,Position_group_out,Sequence,ExtraTrees_depth2,fixed_0.5,22,22,0.4809523809523809,0.5,0.6666666666666666,0.5333333333333333,0.42857142857142855,8.0,3.0,4.0,7.0,0.4476190476190477,0.7220454545454544
C871,-10,Position_group_out,Sequence,ExtraTrees_depth2,training_only_threshold,22,22,0.4857142857142857,0.45454545454545453,0.6666666666666666,0.4,0.5714285714285714,6.0,4.0,3.0,9.0,0.4476190476190477,0.7220454545454544
C871,-10,Position_group_out,Sequence,GaussianNB,fixed_0.5,22,22,0.6523809523809523,0.6818181818181818,0.7857142857142857,0.7333333333333333,0.5714285714285714,11.0,4.0,3.0,4.0,0.6428571428571428,0.7658874458874458
C871,-10,Position_group_out,Sequence,GaussianNB,training_only_threshold,22,22,0.6857142857142857,0.7272727272727273,0.8,0.8,0.5714285714285714,12.0,4.0,3.0,3.0,0.6428571428571428,0.7658874458874458
C871,-10,Position_group_out,Sequence,LDA_shrinkage,fixed_0.5,22,22,0.5095238095238095,0.5909090909090909,0.6875,0.7333333333333333,0.2857142857142857,11.0,2.0,5.0,4.0,0.49523809523809526,0.6839214978920861
C871,-10,Position_group_out,Sequence,LDA_shrinkage,training_only_threshold,22,22,0.47619047619047616,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.2857142857142857,10.0,2.0,5.0,5.0,0.49523809523809526,0.6839214978920861
C871,-10,Position_group_out,Sequence,LR_0.01,fixed_0.5,22,22,0.4809523809523809,0.5,0.6666666666666666,0.5333333333333333,0.42857142857142855,8.0,3.0,4.0,7.0,0.5523809523809524,0.7504188163630888
C871,-10,Position_group_out,Sequence,LR_0.01,training_only_threshold,22,22,0.47619047619047616,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.2857142857142857,10.0,2.0,5.0,5.0,0.5523809523809524,0.7504188163630888
C871,-10,Position_group_out,Sequence,LR_0.1,fixed_0.5,22,22,0.5476190476190476,0.5909090909090909,0.7142857142857143,0.6666666666666666,0.42857142857142855,10.0,3.0,4.0,5.0,0.5619047619047619,0.770326666797255
C871,-10,Position_group_out,Sequence,LR_0.1,training_only_threshold,22,22,0.40476190476190477,0.5,0.625,0.6666666666666666,0.14285714285714285,10.0,1.0,6.0,5.0,0.5619047619047619,0.770326666797255
C871,-10,Position_group_out,Sequence,LR_1,fixed_0.5,22,22,0.5809523809523809,0.6363636363636364,0.7333333333333333,0.7333333333333333,0.42857142857142855,11.0,3.0,4.0,4.0,0.5428571428571429,0.7548133107575832
C871,-10,Position_group_out,Sequence,LR_1,training_only_threshold,22,22,0.40476190476190477,0.5,0.625,0.6666666666666666,0.14285714285714285,10.0,1.0,6.0,5.0,0.5428571428571429,0.7548133107575832
C871,-10,Position_group_out,Sequence,RF_depth1,fixed_0.5,22,22,0.5047619047619047,0.6363636363636364,0.6842105263157895,0.8666666666666667,0.14285714285714285,13.0,1.0,6.0,2.0,0.4904761904761905,0.750974271686346
C871,-10,Position_group_out,Sequence,RF_depth1,training_only_threshold,22,22,0.4857142857142857,0.45454545454545453,0.6666666666666666,0.4,0.5714285714285714,6.0,4.0,3.0,9.0,0.4904761904761905,0.750974271686346
C871,-10,Position_group_out,Sequence,RF_depth2,fixed_0.5,22,22,0.5047619047619047,0.6363636363636364,0.6842105263157895,0.8666666666666667,0.14285714285714285,13.0,1.0,6.0,2.0,0.5666666666666668,0.7937087594208336
C871,-10,Position_group_out,Sequence,RF_depth2,training_only_threshold,22,22,0.5523809523809524,0.5454545454545454,0.7272727272727273,0.5333333333333333,0.5714285714285714,8.0,4.0,3.0,7.0,0.5666666666666668,0.7937087594208336
C871,-10,Position_group_out,Sequence,SVM_RBF,fixed_0.5,22,22,0.5142857142857142,0.5454545454545454,0.6923076923076923,0.6,0.42857142857142855,9.0,3.0,4.0,6.0,0.48571428571428577,0.7285922170364895
C871,-10,Position_group_out,Sequence,SVM_RBF,training_only_threshold,22,22,0.40476190476190477,0.5,0.625,0.6666666666666666,0.14285714285714285,10.0,1.0,6.0,5.0,0.48571428571428577,0.7285922170364895
C871,-10,Position_group_out,Sequence,nested_model_selection,training_only_threshold,22,22,0.3761904761904762,0.4090909090909091,0.5833333333333334,0.4666666666666667,0.2857142857142857,7.0,2.0,5.0,8.0,0.3666666666666667,0.651739412977803
C871,-10,Position_group_out,Sequence_Local,ExtraTrees_depth2,fixed_0.5,22,22,0.43333333333333335,0.5909090909090909,0.65,0.8666666666666667,0.0,13.0,0.0,7.0,2.0,0.2285714285714286,0.5726055907170458
C871,-10,Position_group_out,Sequence_Local,ExtraTrees_depth2,training_only_threshold,22,22,0.3047619047619048,0.36363636363636365,0.5384615384615384,0.4666666666666667,0.14285714285714285,7.0,1.0,6.0,8.0,0.2285714285714286,0.5726055907170458
C871,-10,Position_group_out,Sequence_Local,GaussianNB,fixed_0.5,22,22,0.5047619047619047,0.6363636363636364,0.6842105263157895,0.8666666666666667,0.14285714285714285,13.0,1.0,6.0,2.0,0.5047619047619049,0.6838915470494418
C871,-10,Position_group_out,Sequence_Local,GaussianNB,training_only_threshold,22,22,0.5047619047619047,0.6363636363636364,0.6842105263157895,0.8666666666666667,0.14285714285714285,13.0,1.0,6.0,2.0,0.5047619047619049,0.6838915470494418
C871,-10,Position_group_out,Sequence_Local,LDA_shrinkage,fixed_0.5,22,22,0.4380952380952381,0.5454545454545454,0.6470588235294118,0.7333333333333333,0.14285714285714285,11.0,1.0,6.0,4.0,0.3619047619047619,0.6187982923509239
C871,-10,Position_group_out,Sequence_Local,LDA_shrinkage,training_only_threshold,22,22,0.36666666666666664,0.5,0.6111111111111112,0.7333333333333333,0.0,11.0,0.0,7.0,4.0,0.3619047619047619,0.6187982923509239
C871,-10,Position_group_out,Sequence_Local,LR_0.01,fixed_0.5,22,22,0.3333333333333333,0.45454545454545453,0.5882352941176471,0.6666666666666666,0.0,10.0,0.0,7.0,5.0,0.3142857142857143,0.626412622465254
C871,-10,Position_group_out,Sequence_Local,LR_0.01,training_only_threshold,22,22,0.37142857142857144,0.45454545454545453,0.6,0.6,0.14285714285714285,9.0,1.0,6.0,6.0,0.3142857142857143,0.626412622465254
C871,-10,Position_group_out,Sequence_Local,LR_0.1,fixed_0.5,22,22,0.40476190476190477,0.5,0.625,0.6666666666666666,0.14285714285714285,10.0,1.0,6.0,5.0,0.33333333333333337,0.6371472581998898
C871,-10,Position_group_out,Sequence_Local,LR_0.1,training_only_threshold,22,22,0.36666666666666664,0.5,0.6111111111111112,0.7333333333333333,0.0,11.0,0.0,7.0,4.0,0.33333333333333337,0.6371472581998898
C871,-10,Position_group_out,Sequence_Local,LR_1,fixed_0.5,22,22,0.4380952380952381,0.5454545454545454,0.6470588235294118,0.7333333333333333,0.14285714285714285,11.0,1.0,6.0,4.0,0.319047619047619,0.5811792447318762
C871,-10,Position_group_out,Sequence_Local,LR_1,training_only_threshold,22,22,0.43333333333333335,0.5909090909090909,0.65,0.8666666666666667,0.0,13.0,0.0,7.0,2.0,0.319047619047619,0.5811792447318762
